Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,DaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
IN,Indiana,Midwest,Owen,21380,97.256083,0.301275,0.917729,0.301275,46001,73.3,78.6,15.8,32.4,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29,7917.29
IN,Indiana,Midwest,Parke,17069,95.420728,2.255032,1.239979,0.190322,42056,74.3,79.9,17.7,31.8,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97,7976.97
IN,Indiana,Midwest,Perry,19462,95.294239,2.425277,0.992864,0.35681,44623,75.6,79.4,13,30.4,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82,7403.82
IN,Indiana,Midwest,Pike,12766,97.656676,0.295835,0.934216,0.194628,47217,75,79.7,12.7,34,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361,7361
IN,Indiana,Midwest,Porter,165682,85.944032,2.82884,8.478,1.192628,63030,75.9,80,10.9,30.6,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73,6616.73
IN,Indiana,Midwest,Posey,25599,96.66538,0.887688,0.957159,0.270166,59975,75.3,81.2,9.1,31.7,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42,6287.42
IN,Indiana,Midwest,Pulaski,13124,95.679749,0.649157,2.425011,0.201462,43770,74.2,78.8,15.2,31.9,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92,9044.92
IN,Indiana,Midwest,Putnam,37750,92.532202,3.911704,1.546242,0.719121,49467,75.4,80.1,13.6,31.5,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82,6490.82
IN,Indiana,Midwest,Randolph,25815,95.124374,0.435597,3.018608,0.217798,41577,75,79.8,15.8,33.8,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89,6925.89
IN,Indiana,Midwest,Ripley,28583,96.74162,0.232494,1.544174,0.506628,52491,75.9,79.1,12.3,32.2,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93,7049.93
