Abbr,State,REGION,County,POPEST2012,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,Median,MaleLifeEx2010,FemaleLifeEx2010,Uninsured2014,obesity,YPLS,% Fair/Poor health,POPMaleLifeEx,POPUninsured,POPobesity,POPYPLS,POPDaysPoorHealth,DaysPoorPhys,DaysPoorMental,LBirthWeight,FoodEnvIndex,PercPhysicallyInactive,PercAccessExercise,PercDaibetes,PercMam,GradRate,PercSomeCollege,PercUnemployed,PercChildrenPov,PercNoEmoSupport,PercSingleParentHouseholds,ViolentCrimeRate,InjuryDeathRate
AR,Arkansas,Southeast,Greene,43163,95.428843,0.5512,2.140651,0.254217,42572,72.6,77.2,11.2,34.1,10162.21,14.3,3133633.8,483425.6,1471858.3,438631470.2,617230.9,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21,10162.21
AR,Arkansas,Southeast,Hempstead,22373,56.481932,29.293644,11.999646,0.362687,33136,72.1,77.7,16.2,41.2,9489.99,30,1613093.3,362442.6,921767.6,212319546.3,671190,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99,9489.99
AR,Arkansas,Southeast,Hot Spring,33394,84.144823,10.764511,2.791362,0.282477,37831,71.8,78.7,12.9,32.5,9973.16,28,2397689.2,430782.6,1085305,333043705,935032,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16,9973.16
AR,Arkansas,Southeast,Howard,13735,67.387048,20.400319,9.78316,0.609181,37336,71.4,76.5,17.7,37.3,10034.95,18.9,980679,243109.5,512315.5,137830038.3,259591.5,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95,10034.95
AR,Arkansas,Southeast,Independence,37025,89.813627,1.934674,5.836767,0.753131,41085,72.6,78,13.4,34,10757.55,21.9,2688015,496135,1258850,398298288.8,810847.5,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55,10757.55
AR,Arkansas,Southeast,Izard,13474,94.962033,1.277745,1.518692,0.284755,32744,72.7,78.3,16.6,33,10889.76,28.5,979559.8,223668.4,444642,146728626.2,384009,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76,10889.76
AR,Arkansas,Southeast,Jackson,17600,78.79091,16.602767,2.422626,0.294494,32427,71.6,75.7,13.9,40.1,9816.98,29.2,1260160,244640,705760,172778848,513920,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98,9816.98
AR,Arkansas,Southeast,Jefferson,74723,41.389553,54.865371,1.574224,0.768386,35927,71.6,77.1,11.2,39,10828.72,17.7,5350166.8,836897.6,2914197,809154444.6,1322597.1,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72,10828.72
AR,Arkansas,Southeast,Johnson,25901,83.508222,1.315583,12.11433,0.6852,34923,73.3,77.7,16.6,34.7,8814.18,25.3,1898543.3,429956.6,898764.7,228296076.2,655295.3,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18,8814.18
AR,Arkansas,Southeast,Lafayette,7447,59.947678,37.109222,1.713538,0.340092,32225,70.3,77,16.2,34,13601.11,12.2,523524.1,120641.4,253198,101287466.2,90853.4,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11,13601.11
AR,Arkansas,Southeast,Lawrence,17012,96.744186,0.769452,0.907264,0.126328,34916,72,77.2,12.5,33.3,10428.24,24.9,1224864,212650,566499.6,177405218.9,423598.8,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24,10428.24
AR,Arkansas,Southeast,Lee,10216,41.442824,55.065234,1.611665,0.393323,28006,69.4,76.5,13.5,35.2,11694.57,30.4,708990.4,137916,359603.2,119471727.1,310566.4,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57,11694.57
AR,Arkansas,Southeast,Lincoln,14101,65.770483,29.793406,3.197962,0.141503,37644,72.9,78,14.6,35.7,8897.27,27.5,1027962.9,205874.6,503405.7,125460404.3,387777.5,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27,8897.27
AR,Arkansas,Southeast,Little River,12919,74.641257,19.041834,2.7105,0.296105,37691,71.4,76.5,13.2,33.1,11541.9,17.1,922416.6,170530.8,427618.9,149109806.1,220914.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9,11541.9
AR,Arkansas,Southeast,Logan,21983,92.193442,1.274997,2.281573,1.614996,36391,71.2,77.8,14.1,35.3,10381.18,20.2,1565189.6,309960.3,775999.9,228209479.9,444056.6,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18,10381.18
AR,Arkansas,Southeast,Lonoke,69839,87.933759,5.93803,3.285739,0.769501,54459,73.1,78.7,10.8,33.9,9020.7,16.9,5105230.9,754261.2,2367542.1,629996667.3,1180279.1,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7,9020.7
AR,Arkansas,Southeast,Madison,15645,91.945028,0.171789,4.829166,0.515366,39158,72.8,79.1,17.4,32.9,7858.25,21.6,1138956,272223,514720.5,122942321.3,337932,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25,7858.25
AR,Arkansas,Southeast,Marion,16568,95.856602,0.168138,1.723413,0.222182,33181,73.5,79.1,14.5,30.8,10384.88,14.2,1217748,240236,510294.4,172056691.8,235265.6,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88,10384.88
